355,11.00,5.38,1.96,0.00,2225.81,0.00,0.00,1221.99
360,10.00,5.87,1.96,0.00,2234.60,0.00,0.00,1195.60
364,11.00,4.40,1.96,0.00,2237.54,0.00,0.00,1204.40
369,11.00,5.38,2.44,0.00,2225.81,0.00,0.00,1195.60
373,12.00,6.35,1.96,0.00,2234.60,0.00,0.00,1189.74
378,12.00,4.89,1.96,0.00,2234.60,14.66,8.80,1201.47
382,10.00,5.38,1.96,0.00,2243.40,0.00,0.00,1175.07
387,11.00,4.89,1.96,0.00,2252.20,0.00,0.00,1186.80
391,11.00,4.40,0.49,0.00,2231.67,17.60,0.00,1227.86
397,13.00,4.89,2.44,0.00,2225.81,0.00,0.00,1180.94
401,10.00,4.89,1.96,0.00,2234.60,0.00,0.00,1192.67
405,12.00,5.38,1.96,0.00,2231.67,0.00,11.73,1183.87
410,9.00,4.89,0.98,0.00,2231.67,20.53,0.00,1230.79
414,13.00,4.40,1.96,0.00,2228.74,0.00,0.00,1204.40
419,12.00,5.87,1.96,0.00,2231.67,0.00,0.00,1227.86
423,10.00,4.89,1.96,0.00,2255.13,0.00,0.00,1189.74
428,10.00,4.40,1.47,0.00,2228.74,0.00,0.00,1163.34
432,12.00,3.91,1.47,0.00,2255.13,0.00,0.00,1195.60
438,10.00,5.87,1.96,0.00,2249.27,0.00,0.00,1213.20
442,8.00,4.89,1.47,0.00,2255.13,0.00,0.00,1151.61
447,11.00,4.89,1.96,0.00,2255.13,0.00,0.00,1125.22
451,11.00,5.87,1.96,0.00,2231.67,0.00,0.00,1201.47
455,10.00,5.38,1.47,0.00,2217.01,0.00,0.00,1204.40
460,12.00,6.35,1.96,0.00,2234.60,0.00,0.00,1198.53
464,11.00,5.38,1.96,0.00,2234.60,14.66,8.80,1210.26
469,10.00,5.38,1.96,0.00,2240.47,0.00,0.00,1227.86
473,11.00,4.89,1.96,0.00,2252.20,0.00,0.00,1204.40
478,12.00,4.89,0.49,0.00,2228.74,14.66,0.00,1221.99
483,11.00,5.38,1.96,0.00,2208.21,0.00,0.00,1207.33
488,11.00,6.35,1.96,0.00,2231.67,0.00,0.00,1230.79
492,12.00,4.89,0.98,0.00,2228.74,0.00,2.93,1178.01
497,12.00,4.89,0.49,0.00,2252.20,0.00,2.93,1189.74
501,11.00,4.89,1.96,0.00,2231.67,0.00,0.00,1201.47
506,10.00,5.87,1.96,0.00,2246.33,0.00,0.00,1227.86
510,8.00,4.89,1.96,0.00,2255.13,0.00,0.00,1189.74
515,10.00,4.89,1.47,0.00,2228.74,0.00,0.00,1139.88
519,9.00,4.89,1.47,0.00,2252.20,0.00,2.93,1186.80
524,11.00,4.89,1.96,0.00,2222.87,17.60,0.00,1207.33
529,11.00,4.40,1.96,0.00,2246.33,0.00,0.00,1183.87
533,13.00,3.42,1.47,0.00,2231.67,0.00,0.00,1163.34
538,12.00,4.89,1.47,0.00,2234.60,0.00,14.66,1230.79
542,13.00,4.89,2.44,0.00,2228.74,0.00,0.00,1213.20
547,10.00,4.89,1.96,0.00,2234.60,0.00,0.00,1189.74
551,12.00,4.89,1.96,0.00,2228.74,0.00,0.00,1207.33
556,11.00,4.89,1.96,0.00,2252.20,0.00,0.00,1192.67
560,11.00,4.89,1.96,0.00,2228.74,23.46,0.00,1207.33
566,10.00,5.38,1.96,0.00,2228.74,0.00,0.00,1204.40
570,10.00,5.38,1.96,0.00,2208.21,0.00,0.00,1192.67
575,10.00,6.84,1.96,0.00,2234.60,0.00,0.00,1204.40
579,11.00,4.89,1.96,0.00,2234.60,2.93,2.93,1113.49
584,11.00,4.89,2.44,0.00,2231.67,0.00,20.53,1195.60
588,12.00,5.87,2.44,0.00,2231.67,0.00,0.00,1224.93
593,11.00,4.89,1.96,0.00,2252.20,0.00,0.00,1192.67
597,11.00,4.89,1.47,0.00,2234.60,23.46,0.00,1227.86
601,13.00,4.40,1.96,0.00,2228.74,0.00,0.00,1224.93
606,11.00,4.89,1.96,0.00,2231.67,0.00,0.00,1189.74
611,12.00,4.40,1.47,0.00,2234.60,20.53,0.00,1230.79
616,10.00,5.38,2.44,0.00,2217.01,0.00,0.00,1207.33
620,11.00,5.38,1.96,0.00,2243.40,0.00,0.00,1248.39
625,12.00,4.89,1.96,0.00,2234.60,0.00,5.87,1192.67
629,11.00,4.40,1.47,0.00,2234.60,20.53,0.00,1189.74
634,14.00,4.89,1.47,0.00,2252.20,0.00,0.00,1172.14
638,12.00,2.93,0.98,0.00,2252.20,0.00,0.00,1128.15
643,10.00,4.89,1.96,0.00,2228.74,0.00,20.53,1216.13
647,11.00,5.38,1.96,0.00,2231.67,0.00,0.00,1245.45
653,11.00,5.38,1.96,0.00,2231.67,0.00,5.87,1198.53
657,11.00,4.89,1.47,0.00,2234.60,0.00,0.00,1195.60
662,13.00,3.42,1.47,0.00,2231.67,0.00,0.00,1128.15
666,10.00,4.40,1.47,0.00,2228.74,17.60,0.00,1204.40
671,9.00,4.40,1.47,0.00,2222.87,0.00,0.00,1201.47
675,10.00,5.87,1.96,0.00,2231.67,0.00,0.00,1198.53
679,10.00,6.35,2.44,0.00,2237.54,0.00,0.00,1195.60
684,10.00,5.38,2.93,0.00,2211.14,0.00,0.00,1233.72
688,14.00,4.40,1.96,0.00,2225.81,0.00,0.00,1210.26
694,11.00,4.40,1.96,0.00,2246.33,0.00,0.00,1207.33
698,13.00,2.93,1.47,0.00,2252.20,0.00,0.00,1183.87
703,11.00,4.40,1.96,0.00,2231.67,0.00,0.00,1207.33
707,10.00,4.40,1.96,0.00,2225.81,0.00,0.00,1183.87
712,10.00,4.89,1.96,0.00,2211.14,0.00,0.00,1183.87
716,10.00,4.89,1.96,0.00,2234.60,0.00,11.73,1180.94
721,13.00,3.42,1.47,0.00,2231.67,0.00,0.00,1189.74
725,12.00,4.89,1.96,0.00,2231.67,0.00,8.80,1227.86
730,9.00,3.42,1.96,0.00,2228.74,20.53,0.00,1219.06
734,10.00,6.35,1.96,0.00,2228.74,0.00,0.00,1204.40
739,10.00,5.87,1.96,0.00,2246.33,0.00,0.00,1248.39
744,11.00,4.89,1.47,0.00,2228.74,0.00,14.66,1219.06
748,11.00,4.89,1.96,0.00,2205.28,0.00,0.00,1216.13
753,11.00,4.89,1.96,0.00,2228.74,0.00,0.00,1192.67
757,13.00,3.91,1.47,0.00,2228.74,0.00,0.00,1230.79
762,12.00,5.38,1.96,0.00,2231.67,0.00,0.00,1189.74
766,11.00,4.89,1.96,0.00,2234.60,17.60,0.00,1210.26
771,10.00,5.38,1.96,0.00,2228.74,0.00,0.00,1198.53
775,11.00,5.87,1.96,0.00,2234.60,0.00,0.00,1204.40
781,11.00,5.38,1.96,0.00,2234.60,0.00,0.00,1230.79
785,12.00,5.38,1.96,0.00,2237.54,0.00,8.80,1207.33
790,10.00,4.89,1.96,0.00,2217.01,0.00,0.00,1128.15
794,11.00,5.38,1.96,0.00,2228.74,0.00,0.00,1224.93
799,9.00,4.40,1.47,0.00,2228.74,0.00,0.00,1169.21
803,12.00,4.89,1.96,0.00,2234.60,0.00,0.00,1131.09
807,11.00,4.40,1.96,0.00,2234.60,14.66,0.00,1183.87
812,11.00,3.42,1.47,0.00,2252.20,0.00,0.00,1175.07
816,11.00,4.89,1.96,0.00,2252.20,0.00,0.00,1221.99
822,11.00,4.89,0.49,0.00,2246.33,17.60,0.00,1236.66
826,9.00,4.40,0.98,0.00,2234.60,0.00,0.00,1151.61
831,11.00,4.89,1.96,0.00,2255.13,0.00,14.66,1213.20
835,11.00,6.35,1.96,0.00,2231.67,0.00,0.00,1254.25
840,11.00,4.89,0.98,0.00,2231.67,0.00,0.00,1198.53
844,10.00,4.89,1.96,0.00,2234.60,0.00,0.00,1189.74
848,12.00,4.89,1.96,0.00,2234.60,17.60,5.87,1201.47
853,11.00,3.91,2.44,0.00,2246.33,0.00,0.00,1175.07
858,12.00,5.38,1.96,0.00,2234.60,0.00,0.00,1151.61
